Date,Japan,China,South Korea,India,Taiwan,France,Spain,United Kingdom,Turkey,Italy,Netherlands,Thailand,Pakistan,Belgium,Kuwait,Singapore Republic,Indonesia,Bangladesh,Portugal,Poland,Chile,Brazil,Egypt,Mexico,Malaysia,Argentina,Greece,Germany,Lithuania,United Arab Emirates,Dominican Republic,Puerto Rico,Jordan,United States,Jamaica,Croatia,Colombia,Finland,Canada,Philippines,Panama,Malta,Sweden,Israel,Hong Kong,Norway,United States Virgin Islands,El Salvador,Russian Federation,Vietnam,Myanmar,Bahrain,Gibraltar,Australia,Senegal,Cuba,Denmark,Papua New Guinea,Unknown,Mauritania,Iceland,Estonia,Bahamas,Period End Date
2016-01-21,714939.0,152972.0,664372.0,149643.0,0.0,0.0,195214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-21
2016-01-22,1299870.0,306787.0,402029.0,0.0,227882.0,203400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-22
2016-01-23,843027.0,253281.0,551821.0,345100.0,0.0,212995.0,139402.0,0.0,0.0,138560.0,0.0,0.0,0.0,0.0,0.0,143677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-23
2016-01-24,877787.0,0.0,416450.0,0.0,0.0,0.0,0.0,0.0,124333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168397.0,0.0,0.0,0.0,0.0,0.0,0.0,99553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-24
2016-01-25,176555.0,0.0,0.0,88537.0,154830.0,0.0,73235.0,0.0,134179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154704.0,126970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-25
2016-01-26,291984.0,0.0,410367.0,0.0,138814.0,0.0,141227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-26
2016-01-27,464007.0,278025.0,280571.0,153011.0,152224.0,0.0,0.0,257484.0,203426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-27
2016-01-28,532705.0,165897.0,127576.0,130057.0,0.0,0.0,197049.0,0.0,132799.0,145122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-28
2016-01-29,658671.0,309220.0,284621.0,131108.0,141249.0,0.0,136400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99674.0,0.0,0.0,0.0,0.0,0.0,133673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-29
2016-01-30,518721.0,155140.0,388668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-30
