Date,Japan,China,South Korea,India,Taiwan,France,Spain,United Kingdom,Turkey,Italy,Netherlands,Thailand,Pakistan,Belgium,Kuwait,Singapore Republic,Indonesia,Bangladesh,Portugal,Poland,Chile,Egypt,Brazil,Mexico,Malaysia,Argentina,Greece,Germany,Lithuania,United Arab Emirates,Dominican Republic,Puerto Rico,Jordan,United States,Jamaica,Croatia,Colombia,Finland,Canada,Philippines,Panama,Malta,Sweden,Israel,Hong Kong,Norway,United States Virgin Islands,El Salvador,Russian Federation,Vietnam,Myanmar,Bahrain,Gibraltar,Australia,Senegal,Cuba,Denmark,Papua New Guinea,Unknown,Mauritania,Iceland,Estonia,Bahamas,Period End Date
2016-01-28,532705.00,165897.00,127576.00,130057.00,0,0,197049.00,0,132799.00,145122.00,0,0,0,0,0,0,0,0,0,0,151798.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-28
2016-01-29,658671.00,309220.00,284621.00,131108.00,141249.00,0,136400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99674.00,0,0,0,0,0,133673.00,0,0,0,0,0,0,0,0,0,0,0,133437.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-29
2016-01-30,518721.00,155140.00,388668.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121431.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-30
2016-01-31,659687.00,0,391773.00,315213.00,130383.00,0,0,0,0,138530.00,0,0,0,0,0,135945.00,0,0,0,0,76901.00,0,0,0,0,0,0,0,0,0,0,0,0,143496.00,0,0,0,0,0,0,0,0,15041.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-31
2016-02-01,332266.00,398509.00,122022.00,152300.00,138405.00,141605.00,0,0,124933.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130453.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-01
2016-02-02,606922.00,257363.00,257401.00,181504.00,0,140454.00,0,0,0,0,0,203430.00,0,0,0,0,121230.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-02
2016-02-03,430527.00,202739.00,163221.00,0,0,0,0,253127.00,141252.00,0,0,0,0,0,0,0,0,0,0,0,0,147607.00,0,0,0,0,0,0,0,0,149827.00,0,139100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-03
2016-02-04,312915.00,431331.00,128027.00,130957.00,141059.00,0,134211.00,203341.00,0,0,133424.00,0,0,0,0,0,140188.00,0,0,0,0,148868.00,145587.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-04
2016-02-05,1172832.00,153578.00,156765.00,0,131731.00,0,128473.00,0,0,139006.00,0,0,0,158112.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05
2016-02-06,461360.00,130000.00,149295.00,131317.00,0,134746.00,0,0,0,0,0,0,0,0,0,0,0,0,73015.00,0,0,0,153839.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139878.00,0,0,0,6371.00,0,0,16197.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-06
