date,trend,tweet_count
11-09-2025,Cruzeiro,29371.0
11-09-2025,Kaio Jorge,
11-09-2025,宇宙の日,10934.0
11-09-2025,夜勤事件,
11-09-2025,#朝ドラあんぱん,15861.0
11-09-2025,#SVAllStarsGala2,
11-09-2025,#サーティワン新作シェイク,
11-09-2025,Jair Bolsonaro,255447.0
11-09-2025,#بيبو_الجمهور_بيقولك_كمل,
11-09-2025,ナムさん,
11-09-2025,Lyanco,
11-09-2025,#ラスピTIME,
11-09-2025,SUPREMA PERSEGUIÇÃO,163164.0
11-09-2025,Igor Gomes,
11-09-2025,アンパンマン,13604.0
11-09-2025,QUEREM MATAR BOLSONARO,136513.0
11-09-2025,エンティーム,
11-09-2025,ケイくん,
11-09-2025,日本郵便公表,
11-09-2025,Thelma,18095.0
11-09-2025,Wanderson,
11-09-2025,Arana,
11-09-2025,総裁選出馬の意向,12124.0
11-09-2025,27 ANOS,82539.0
11-09-2025,東海林さん,
11-09-2025,セカンドイシュー,
11-09-2025,きんようび,
11-09-2025,ミラージュフレーム,
11-09-2025,BOLSONARO PRESO,102930.0
11-09-2025,小泉農相,
11-09-2025,ジャムおじさん,
11-09-2025,Bozo,26304.0
11-09-2025,Papuda,34217.0
11-09-2025,Naval Academy,26405.0
11-09-2025,小泉進次郎農水相,
11-09-2025,Wake Forest,
11-09-2025,推薦人20人確保,
11-09-2025,専業子供,
11-09-2025,Portnoy,
11-09-2025,XEQUE MATE NO YT,
11-09-2025,Bonner,13243.0
11-09-2025,Isabella,92770.0
11-09-2025,VIVA A DEMOCRACIA,31241.0
11-09-2025,岩清水さん,
11-09-2025,Annapolis,17449.0
11-09-2025,琴子さん,
11-09-2025,クイズの日,
11-09-2025,George Floyd,421291.0
11-09-2025,GRANDE DIA,150143.0
11-09-2025,BOLSONARO CONDENADO,295430.0
11-09-2025,#اخت_رجال,
11-09-2025,#حاله_انسانيه_عمر52_منصه_احسان,
11-09-2025,#نجاح_صيف_السعوديه,
11-09-2025,#SVAllStarsGala2,
11-09-2025,Jair Bolsonaro,187242.0
11-09-2025,#BolsonaroNaCadeia,10236.0
11-09-2025,namjoon,325730.0
11-09-2025,SUPREMA PERSEGUIÇÃO,112054.0
11-09-2025,宇宙の日,
11-09-2025,QUEREM MATAR BOLSONARO,93931.0
11-09-2025,carmen lucia,332845.0
11-09-2025,ナムさん,
11-09-2025,BOLSONARO PRESO,83208.0
11-09-2025,Kevin Gausman,
11-09-2025,27 ANOS,17664.0
11-09-2025,Thelma,15324.0
11-09-2025,Bozo,24903.0
11-09-2025,George Floyd,409916.0
11-09-2025,مجلس الامن,12304.0
11-09-2025,Papuda,23647.0
11-09-2025,Bonner,10854.0
11-09-2025,Paramount,14862.0
11-09-2025,VIVA A DEMOCRACIA,24049.0
11-09-2025,Zanin,78044.0
11-09-2025,XEQUE MATE NO YT,
11-09-2025,Alexandre de Moraes,130939.0
11-09-2025,HBCUs,16926.0
11-09-2025,MANE EN NYFW,
11-09-2025,Dino,139640.0
11-09-2025,小泉進次郎農水相,
11-09-2025,UMass Boston,10664.0
11-09-2025,総裁選出馬の意向,10825.0
11-09-2025,ピン止め投稿,20274.0
11-09-2025,賞品の抽選,42586.0
11-09-2025,Hayırlı Cumalar,
11-09-2025,Portnoy,
11-09-2025,全4問正解,27476.0
11-09-2025,小泉農相,
11-09-2025,Wチャンス,175478.0
11-09-2025,推薦人20人確保,
11-09-2025,REGIME FECHADO,
11-09-2025,Borderlands 4,15223.0
11-09-2025,Jota Silva,12179.0
11-09-2025,KIEHL’S TALK EP2,
11-09-2025,ياسر,
11-09-2025,11 de Setembro,132919.0
11-09-2025,joonie,29550.0
11-09-2025,Iztapalapa,216646.0
11-09-2025,GRANDE DIA,96485.0
11-09-2025,BOLSONARO CONDENADO,187679.0
11-09-2025,#نجاح_صيف_السعوديه,
11-09-2025,#اخت_رجال,
11-09-2025,#لاتزرع_شعرك_بغير_واثق_كلينك,
11-09-2025,carmen lucia,281132.0
11-09-2025,#رجال_الحكيم,
11-09-2025,#ابشر_بنا_ياسعدون,
11-09-2025,namjoon,306617.0
11-09-2025,Jair Bolsonaro,148154.0
11-09-2025,BOLSONARO PRESO,61673.0
11-09-2025,$MINT,
11-09-2025,SUPREMA PERSEGUIÇÃO,49868.0
11-09-2025,Thelma,13675.0
11-09-2025,QUEREM MATAR BOLSONARO,38951.0
11-09-2025,George Floyd,409473.0
11-09-2025,Zanin,55410.0
11-09-2025,Alexandre de Moraes,118299.0
11-09-2025,Paramount,12331.0
11-09-2025,Jota Silva,11224.0
11-09-2025,HBCUs,13223.0
11-09-2025,VIVA A DEMOCRACIA,14950.0
11-09-2025,UMass Boston,
11-09-2025,Bozo,27532.0
11-09-2025,Gausman,
11-09-2025,ياسر,
11-09-2025,Borderlands 4,13666.0
11-09-2025,WHAT IF TAYO,163508.0
11-09-2025,VAI TOMAR NO CU BOLSONARO,
11-09-2025,Xandão,39241.0
11-09-2025,Hakan Bilal Kutlualp,11598.0
11-09-2025,Bihter,
11-09-2025,Jair Messias Bolsonaro,12840.0
11-09-2025,Dino,134136.0
11-09-2025,Hayırlı Cumalar,
11-09-2025,Iztapalapa,213344.0
11-09-2025,11 de Setembro,82321.0
11-09-2025,Plantão da Globo,37692.0
11-09-2025,Behlül,
11-09-2025,Mauser,17393.0
11-09-2025,مجلس الامن,
11-09-2025,Nate,34046.0
11-09-2025,Warner Bros,
11-09-2025,The FBI,758686.0
11-09-2025,ナムさん,
11-09-2025,سامي الخيبري,
11-09-2025,Mossad,203791.0
11-09-2025,Sadness,72507.0
11-09-2025,Martial,54400.0
